# ratio_edge_cases.log — generated 2026-08-02T14:42:38.201004+00:00
# Cross-check: computed ROCE/ROE vs companies.xlsx pre-computed roce_percentage/roe_percentage
# Category legend: data source issue | version difference | formula discrepancy

ROCE anomaly | HCLTECH | computed=34.71% source=29.60% diff=5.11pp | category=formula discrepancy
ROCE anomaly | HDFCLIFE | computed=646.47% source=6.61% diff=639.86pp | category=data source issue [Financials sector — D/E high-leverage flag suppressed structurally]
ROCE anomaly | SHRIRAMFIN | computed=4.32% source=11.30% diff=6.98pp | category=formula discrepancy [Financials sector — D/E high-leverage flag suppressed structurally]
ROCE anomaly | HEROMOTOCO | computed=177.92% source=29.10% diff=148.82pp | category=data source issue
ROCE anomaly | HINDALCO | computed=118.21% source=11.30% diff=106.91pp | category=data source issue
ROCE anomaly | HINDUNILVR | computed=89.68% source=27.20% diff=62.48pp | category=data source issue
ROCE anomaly | SHREECEM | computed=22.88% source=14.80% diff=8.08pp | category=formula discrepancy

# OPM cross-check: 234 company-year rows differ from source opm_percentage by > 1pp | category=version difference

# Cross-check vs data/financial_ratios.xlsx (Sprint 2 reference file, 1184 rows):
#   NPM/ROE/D-E/ICR/Asset-Turnover matched the engine within rounding tolerance across 1041 matched company-year rows (mean abs diff < 0.01) | category=formula discrepancy (none found — confirms formulas)
DATA QUALITY FINDING | data/financial_ratios.xlsx contains 202 duplicate (company_id, year) rows where FCF-related fields diverge between the two copies while NPM/ROE/D-E match exactly (e.g. ABB Mar-2014..Mar-2024) | category=data source issue — reference file appears to carry two vintages of CFI-derived figures per row. Not used for loading (engine computes FCF directly from cashflow.xlsx); flagged for analyst awareness only.

# Summary: 36 ROCE anomalies, 18 ROE anomalies (latest-year cross-check, 92 companies checked)
