kpi,p10,p25,p50,p75,p90,mean,std,n
return_on_equity_pct,8.370767521615225,11.671358898635695,16.716051794688113,26.00564274915637,48.27674122146251,123.89715185463497,633.6343141021589,91
roce_pct,4.2797722443790365,11.330122565901721,20.637174728252504,36.16994379485593,121.03606440278729,197.4934411400204,835.954982224402,90
net_profit_margin_pct,4.619194610984474,7.24774515132234,14.208254232549017,20.34900889030226,29.24548245324143,20.015917582704322,44.936657310956086,92
debt_to_equity,0.008129006675038002,0.058099743078219884,0.43491620111731844,1.5942703351364202,6.445624336310825,1.6688322682398915,2.8472582122542347,91
interest_coverage,1.6106611743349857,3.179969072942309,11.355507351168956,58.089466998549725,192.2895238095238,126.12959168132556,483.2633540556398,91
asset_turnover,0.07325702420450533,0.21198146242264468,0.6788531553398058,1.134077393208722,1.6559406621205455,3.5044634606741893,15.760195787127044,91
revenue_cagr_5yr,5.838805854237616,8.440832121892061,11.836370175898114,17.183239296281414,21.08864867789759,12.959509937901284,7.330980838643724,91
pat_cagr_5yr,4.3594698195265895,9.666540266417321,16.2781059479576,23.77712800024647,39.277589291381965,21.09003774339994,21.428418248862595,84
eps_cagr_5yr,3.5558153809400497,9.179239288916797,14.869835499703509,22.05389168656197,31.639008770631808,18.99588938745536,20.076972369724015,83
free_cash_flow_cr,-14556.0,-1315.0,1095.0,8447.0,20445.0,897.9230769230769,23126.389276108945,91
